method,recall@5,recall@10,mrr@10,ndcg@10,evidence_coverage@10,recall@100,mrr@100,ndcg@100,delta_mrr@10,delta_recall@10
BM25,0.3594,0.4487,0.7387,0.5683,0.4487,0.5853,0.7404,0.5669,-0.0143,-0.0173
Dense,0.3358,0.4205,0.7196,0.5362,0.4205,0.5648,0.7213,0.5400,-0.0334,-0.0454
Hybrid RRF,0.3679,0.4660,0.7530,0.5844,0.4660,0.7388,0.7556,0.6304,,
Biomedical semantic reranker only,0.0564,0.0875,0.1658,0.1010,0.0875,0.7388,0.1957,0.3455,-0.5872,-0.3785
Full KCH-MedRank,0.4159,0.5294,0.7871,0.6416,0.5294,0.7388,0.7887,0.6724,+0.0341,+0.0634
