dataset,k,baseline,candidate,num_questions,baseline_recall,candidate_recall,delta_recall,baseline_mrr,candidate_mrr,delta_mrr,baseline_ndcg,candidate_ndcg,delta_ndcg
BioASQ,1,Hybrid RRF,HGB all features,943,0.174491512003256,0.18200171761791548,0.007510205614659482,0.7020148462354189,0.7200424178154825,0.018027571580063628,0.7020148462354189,0.7200424178154825,0.018027571580063628
BioASQ,3,Hybrid RRF,HGB all features,943,0.2969014501247406,0.30942912378583504,0.012527673661094418,0.746376811594203,0.7629904559915165,0.0166136443973135,0.650129289752947,0.6700336797145544,0.01990438996160737
BioASQ,5,Hybrid RRF,HGB all features,943,0.3690044758178211,0.3803789814597332,0.011374505641912114,0.7525273948391658,0.7670201484623541,0.01449275362318836,0.6238176084976776,0.6415983343203445,0.017780725822666876
BioASQ,10,Hybrid RRF,HGB all features,943,0.4635873575239647,0.4729946359052557,0.009407278381291018,0.7550244912387012,0.7696472756653033,0.014622784426602142,0.5847935713204423,0.6009076276385297,0.016114056318087377
PubMedQA,1,Hybrid RRF,HGB all features,200,0.3092519841269841,0.3092519841269841,0.0,0.98,0.98,0.0,0.98,0.98,0.0
PubMedQA,3,Hybrid RRF,HGB all features,200,0.7047083333333333,0.789577380952381,0.08486904761904768,0.9833333333333333,0.9841666666666667,0.0008333333333334636,0.8262407308876081,0.8987958118372228,0.07255508094961471
PubMedQA,5,Hybrid RRF,HGB all features,200,0.7754345238095237,0.8603849206349206,0.08495039682539685,0.9843333333333334,0.9854166666666667,0.001083333333333325,0.8238035979359082,0.8950724125701198,0.07126881463421164
PubMedQA,10,Hybrid RRF,HGB all features,200,0.819968253968254,0.8953214285714286,0.07535317460317459,0.9849583333333334,0.9861309523809524,0.0011726190476190057,0.8368681837290366,0.9020540752025477,0.06518589147351106
