method,recall@5,recall@10,mrr@10,ndcg@10,evidence_coverage@10,recall@100,mrr@100,ndcg@100,delta_mrr@10,delta_recall@10
BM25,0.0238,0.0460,0.0429,0.0388,0.0460,0.1872,0.0527,0.0950,,
Dense,0.0484,0.0627,0.1875,0.0727,0.0627,0.1745,0.1971,0.1120,,
Hybrid RRF,0.0000,0.0000,0.0000,0.0000,0.0000,0.7427,0.0468,0.2071,,
Biomedical semantic reranker only,0.0143,0.0302,0.0446,0.0254,0.0302,0.7427,0.0656,0.1999,,
Full KCH-MedRank without global structural counts,0.2182,0.2737,0.2583,0.2040,0.2737,0.8007,0.2780,0.3600,,
Full KCH-MedRank with capped source reasons,0.2127,0.2683,0.2543,0.1934,0.2683,0.8007,0.2809,0.3548,,
Full KCH-MedRank rank-gated structural features,0.2182,0.3095,0.2798,0.2217,0.3095,0.7816,0.2996,0.3604,,
