method,recall@5,recall@10,mrr@10,ndcg@10,evidence_coverage@10,recall@100,mrr@100,ndcg@100,delta_mrr@10,delta_recall@10
BM25,0.0238,0.0460,0.0429,0.0388,0.0460,0.1872,0.0527,0.0950,,
Dense,0.0659,0.0659,0.1905,0.0831,0.0659,0.2308,0.1966,0.1430,,
Hybrid RRF,0.0000,0.0000,0.0000,0.0000,0.0000,0.7427,0.0468,0.2071,,
Biomedical semantic reranker only,0.0143,0.0302,0.0446,0.0254,0.0302,0.7427,0.0656,0.1999,,
Full KCH-MedRank,0.2484,0.3095,0.2220,0.1954,0.3095,0.8007,0.2425,0.3425,,
