method,recall@5,recall@10,mrr@10,ndcg@10,evidence_coverage@10,recall@100,mrr@100,ndcg@100,delta_mrr@10,delta_recall@10
BM25,0.3131,0.4198,0.8305,0.5898,0.4198,0.6024,0.8324,0.5953,-0.0188,-0.0190
Dense,0.2894,0.3883,0.7788,0.5419,0.3883,0.6218,0.7805,0.5769,-0.0705,-0.0505
Hybrid RRF,0.3130,0.4388,0.8493,0.6095,0.4388,0.7729,0.8510,0.6738,,
Biomedical semantic reranker only,0.0397,0.0697,0.1899,0.0996,0.0697,0.7729,0.2234,0.3937,-0.6594,-0.3691
Full KCH-MedRank,0.3537,0.5066,0.8841,0.6762,0.5066,0.8860,0.8850,0.7730,+0.0348,+0.0678
