method,recall@5,recall@10,mrr@10,ndcg@10,evidence_coverage@10,recall@100,mrr@100,ndcg@100,delta_mrr@10,delta_recall@10
BM25,0.2000,0.2000,0.1000,0.1262,0.2000,0.4133,0.1247,0.1914,,
Dense,0.1067,0.1067,0.3000,0.1367,0.1067,0.3067,0.3027,0.1688,,
Hybrid RRF,0.0000,0.0000,0.0000,0.0000,0.0000,0.7067,0.0533,0.1764,,
Biomedical semantic reranker only,0.0000,0.0000,0.0000,0.0000,0.0000,0.7067,0.0533,0.1764,,
Flat biomedical knowledge LambdaMART without graph structure,0.0000,0.2000,0.0250,0.0631,0.2000,0.7067,0.0716,0.1993,,
Retrieval + hypergraph structural LambdaMART,0.0000,0.1067,0.0472,0.0500,0.1067,0.7733,0.0629,0.1922,,
Full KCH-MedRank,0.0000,0.0667,0.0286,0.0313,0.0667,0.7067,0.0678,0.1845,,
Remove hypergraph diffusion and centrality,0.0000,0.2000,0.0222,0.0602,0.2000,0.7067,0.0609,0.1916,,
