method,recall@10,recall@20,recall@50,recall@100,recall@200,recall@300,mrr@10,ndcg@10
Enhanced Hybrid w122,0.4587,0.5553,0.6834,0.7831,0.7831,0.7831,0.8251,0.6275
Concept-Hypergraph Expansion,0.4587,0.5553,0.6834,0.7831,0.8921,0.9104,0.8251,0.6275
