method,recall@5,recall@10,mrr@10,ndcg@10,evidence_coverage@10,recall@100,mrr@100,ndcg@100,delta_mrr@10,delta_recall@10
BM25,0.3170,0.4256,0.8247,0.6071,0.4256,0.6123,0.8266,0.6027,-0.0262,-0.0229
Dense,0.2909,0.3926,0.7731,0.5514,0.3926,0.6322,0.7755,0.5822,-0.0778,-0.0559
Hybrid RRF,0.3300,0.4485,0.8509,0.6337,0.4485,0.7835,0.8525,0.6892,,
Biomedical semantic reranker only,0.0415,0.0716,0.1864,0.1035,0.0716,0.7835,0.2189,0.3988,-0.6645,-0.3769
Flat biomedical knowledge LambdaMART without graph structure,0.3694,0.5173,0.8719,0.6958,0.5173,0.8813,0.8731,0.7760,+0.0210,+0.0688
Retrieval + hypergraph structural LambdaMART,0.3561,0.5075,0.8656,0.6833,0.5075,0.8783,0.8663,0.7651,+0.0147,+0.0589
Pairwise graph LTR,0.3694,0.5180,0.8675,0.6962,0.5180,0.8834,0.8684,0.7767,+0.0166,+0.0695
Full KCH-MedRank,0.3665,0.5136,0.8562,0.6885,0.5136,0.8821,0.8572,0.7699,+0.0053,+0.0651
Remove hypergraph diffusion and centrality,0.3669,0.5116,0.8612,0.6905,0.5116,0.8818,0.8623,0.7732,+0.0103,+0.0630
