method,recall@5,recall@10,mrr@10,ndcg@10,evidence_coverage@10,recall@100,delta_mrr@10,delta_recall@10
BM25,0.1114,0.1379,0.5063,0.2933,0.1379,0.2228,-0.0467,-0.0298
Dense,0.1289,0.1674,0.5399,0.3496,0.1674,0.3096,-0.0132,-0.0002
Hybrid RRF,0.1307,0.1676,0.5530,0.3436,0.1676,0.3242,,
Retrieval-feature LambdaMART,0.1390,0.1770,0.5725,0.3627,0.1770,0.3242,+0.0195,+0.0093
