method,recall@5,recall@10,mrr@10,ndcg@10,evidence_coverage@10,recall@100,mrr@100,ndcg@100,delta_mrr@10,delta_recall@10
BM25,0.3170,0.4256,0.8247,0.6071,0.4256,0.6123,0.8266,0.6027,-0.0262,-0.0229
Dense,0.3094,0.4106,0.8317,0.5915,0.4106,0.6046,0.8334,0.5948,-0.0192,-0.0379
Hybrid RRF,0.3300,0.4485,0.8509,0.6337,0.4485,0.7835,0.8525,0.6892,,
Biomedical semantic reranker only,0.0415,0.0716,0.1864,0.1035,0.0716,0.7835,0.2189,0.3988,-0.6645,-0.3769
Strict-specificity KCH-MedRank without global structural counts,0.3687,0.5175,0.8653,0.6947,0.5175,0.8808,0.8663,0.7738,+0.0144,+0.0690
