method,recall@5,recall@10,mrr@10,ndcg@10,evidence_coverage@10,recall@100,mrr@100,ndcg@100,delta_mrr@10,delta_recall@10
BM25,0.3878,0.4985,0.9278,0.6679,0.4985,0.6427,0.9278,0.6476,-0.0444,-0.0205
Dense,0.3459,0.4532,0.8194,0.5888,0.4532,0.6327,0.8241,0.6031,-0.1528,-0.0658
Hybrid RRF,0.4074,0.5190,0.9722,0.6983,0.5190,0.7211,0.9722,0.7116,,
Biomedical semantic reranker only,0.4074,0.5190,0.9722,0.6983,0.5190,0.7211,0.9722,0.7116,+0.0000,+0.0000
Retrieval-feature-only LambdaMART,0.4074,0.5181,0.9722,0.6977,0.5181,0.8035,0.9722,0.7369,+0.0000,-0.0010
Flat biomedical knowledge LambdaMART without graph structure,0.4124,0.5283,0.9722,0.7038,0.5283,0.8164,0.9722,0.7462,+0.0000,+0.0093
Retrieval + hypergraph structural LambdaMART,0.4134,0.5348,0.9722,0.7058,0.5348,0.8503,0.9722,0.7599,+0.0000,+0.0158
Full KCH-MedRank,0.4134,0.5431,0.9722,0.7131,0.5431,0.8474,0.9722,0.7581,+0.0000,+0.0241
Remove hypergraph diffusion and centrality,0.4124,0.5283,0.9722,0.7024,0.5283,0.8167,0.9722,0.7448,+0.0000,+0.0093
