method,recall@5,recall@10,mrr@10,ndcg@10,evidence_coverage@10,recall@100,mrr@100,ndcg@100,delta_mrr@10,delta_recall@10
BM25,0.3170,0.4256,0.8247,0.6071,0.4256,0.6123,0.8266,0.6027,-0.0262,-0.0229
Dense,0.3094,0.4106,0.8317,0.5915,0.4106,0.6046,0.8334,0.5948,-0.0192,-0.0379
Hybrid RRF,0.3300,0.4485,0.8509,0.6337,0.4485,0.7835,0.8525,0.6892,,
Biomedical semantic reranker only,0.0415,0.0716,0.1864,0.1035,0.0716,0.7835,0.2189,0.3988,-0.6645,-0.3769
Strict-specificity KCH-MedRank,0.3664,0.5146,0.8666,0.6920,0.5146,0.8787,0.8674,0.7728,+0.0157,+0.0661
Strict-specificity KCH-MedRank without global structural counts,0.3680,0.5171,0.8693,0.6942,0.5171,0.8773,0.8704,0.7743,+0.0184,+0.0685
Strict-specificity KCH-MedRank rank-gated structural features,0.3712,0.5138,0.8687,0.6919,0.5138,0.8771,0.8699,0.7712,+0.0178,+0.0653
