setting,types,direct,shared,combined_filter,max_df_ratio,seed_top_n,recall@100,recall@200,recall@300,new_gold@200,new_gold@300,queries_new_gold@200,queries_new_gold@300,added@200,added@300,added_non_gold@200,added_non_gold@300,noise@200,noise@300
pubtator_combined_lowdf_0.10_seed10,"chemical,disease,gene",True,True,True,0.1,10,0.7950,0.7991,0.7991,32,32,26,26,20911,32793,20879,32761,0.998470,0.999024
pubtator_combined_medical_filter,"chemical,disease,gene",True,True,True,0.05,10,0.7950,0.7991,0.7991,32,32,26,26,20911,32793,20879,32761,0.998470,0.999024
pubtator_dcg_lowdf_0.01_seed5,"chemical,disease,gene",True,True,False,0.01,5,0.7950,0.7990,0.7990,31,31,25,25,18251,27634,18220,27603,0.998301,0.998878
pubtator_dcg_lowdf_0.02_seed5,"chemical,disease,gene",True,True,False,0.02,5,0.7950,0.7990,0.7990,31,31,25,25,18251,27634,18220,27603,0.998301,0.998878
pubtator_dcg_lowdf_0.05_seed5,"chemical,disease,gene",True,True,False,0.05,5,0.7950,0.7990,0.7990,31,31,25,25,18251,27634,18220,27603,0.998301,0.998878
pubtator_dcg_lowdf_0.10_seed5,"chemical,disease,gene",True,True,False,0.1,5,0.7950,0.7990,0.7990,31,31,25,25,18251,27634,18220,27603,0.998301,0.998878
pubtator_combined_lowdf_0.01_seed5,"chemical,disease,gene",True,True,True,0.01,5,0.7950,0.7988,0.7988,28,28,24,24,15419,22633,15391,22605,0.998184,0.998763
pubtator_combined_lowdf_0.02_seed5,"chemical,disease,gene",True,True,True,0.02,5,0.7950,0.7988,0.7988,28,28,24,24,15419,22633,15391,22605,0.998184,0.998763
pubtator_combined_lowdf_0.05_seed5,"chemical,disease,gene",True,True,True,0.05,5,0.7950,0.7988,0.7988,28,28,24,24,15419,22633,15391,22605,0.998184,0.998763
pubtator_combined_lowdf_0.10_seed5,"chemical,disease,gene",True,True,True,0.1,5,0.7950,0.7988,0.7988,28,28,24,24,15419,22633,15391,22605,0.998184,0.998763
pubtator_direct_only,all,True,False,False,0.2,25,0.7950,0.7978,0.7978,27,27,21,21,13105,20580,13078,20553,0.997940,0.998688
