setting,types,direct,shared,combined_filter,max_df_ratio,seed_top_n,recall@100,recall@200,recall@300,new_gold@200,new_gold@300,queries_new_gold@200,queries_new_gold@300,added@200,added@300,added_non_gold@200,added_non_gold@300,noise@200,noise@300
pubtator_low_df_0.01,all,True,True,False,0.01,25,0.7950,0.7999,0.7999,39,39,30,30,36840,66749,36801,66710,0.998941,0.999416
pubtator_low_df_0.02,all,True,True,False,0.02,25,0.7950,0.7999,0.7999,39,39,30,30,36840,66749,36801,66710,0.998941,0.999416
pubtator_dcg_lowdf_0.01_seed25,"chemical,disease,gene",True,True,False,0.01,25,0.7950,0.7996,0.7997,36,38,29,29,31852,54877,31816,54839,0.998870,0.999308
pubtator_dcg_lowdf_0.02_seed25,"chemical,disease,gene",True,True,False,0.02,25,0.7950,0.7996,0.7997,36,38,29,29,31852,54877,31816,54839,0.998870,0.999308
pubtator_dcg_lowdf_0.05_seed25,"chemical,disease,gene",True,True,False,0.05,25,0.7950,0.7996,0.7997,36,38,29,29,31852,54877,31816,54839,0.998870,0.999308
pubtator_dcg_lowdf_0.10_seed25,"chemical,disease,gene",True,True,False,0.1,25,0.7950,0.7996,0.7997,36,38,29,29,31852,54877,31816,54839,0.998870,0.999308
pubtator_disease_chemical_gene_only,"chemical,disease,gene",True,True,False,0.2,25,0.7950,0.7996,0.7997,36,38,29,29,31852,54877,31816,54839,0.998870,0.999308
pubtator_seed_top_10,all,True,True,False,0.05,10,0.7950,0.7996,0.7996,38,38,29,29,30714,57491,30676,57453,0.998763,0.999339
pubtator_seed_top_20,all,True,True,False,0.05,20,0.7950,0.7996,0.7996,38,38,29,29,37325,71673,37287,71635,0.998982,0.999470
pubtator_low_df_0.05,all,True,True,False,0.05,25,0.7950,0.7996,0.7996,38,38,29,29,39877,77125,39839,77087,0.999047,0.999507
pubtator_low_df_0.10,all,True,True,False,0.1,25,0.7950,0.7996,0.7996,38,38,29,29,39877,77125,39839,77087,0.999047,0.999507
pubtator_seed_top_25,all,True,True,False,0.05,25,0.7950,0.7996,0.7996,38,38,29,29,39877,77125,39839,77087,0.999047,0.999507
pubtator_dcg_lowdf_0.01_seed20,"chemical,disease,gene",True,True,False,0.01,20,0.7950,0.7995,0.7995,37,37,28,28,29150,49006,29113,48969,0.998731,0.999245
pubtator_dcg_lowdf_0.02_seed20,"chemical,disease,gene",True,True,False,0.02,20,0.7950,0.7995,0.7995,37,37,28,28,29150,49006,29113,48969,0.998731,0.999245
pubtator_dcg_lowdf_0.05_seed20,"chemical,disease,gene",True,True,False,0.05,20,0.7950,0.7995,0.7995,37,37,28,28,29150,49006,29113,48969,0.998731,0.999245
pubtator_dcg_lowdf_0.10_seed20,"chemical,disease,gene",True,True,False,0.1,20,0.7950,0.7995,0.7995,37,37,28,28,29150,49006,29113,48969,0.998731,0.999245
pubtator_combined_lowdf_0.01_seed25,"chemical,disease,gene",True,True,True,0.01,25,0.7950,0.7995,0.7996,35,37,28,28,30198,51532,30163,51495,0.998841,0.999282
pubtator_combined_lowdf_0.02_seed25,"chemical,disease,gene",True,True,True,0.02,25,0.7950,0.7995,0.7996,35,37,28,28,30198,51532,30163,51495,0.998841,0.999282
pubtator_combined_lowdf_0.05_seed25,"chemical,disease,gene",True,True,True,0.05,25,0.7950,0.7995,0.7996,35,37,28,28,30198,51532,30163,51495,0.998841,0.999282
pubtator_combined_lowdf_0.10_seed25,"chemical,disease,gene",True,True,True,0.1,25,0.7950,0.7995,0.7996,35,37,28,28,30198,51532,30163,51495,0.998841,0.999282
pubtator_shared_only,all,False,True,False,0.2,25,0.7950,0.7993,0.7993,37,37,28,28,36426,71222,36389,71185,0.998984,0.999480
pubtator_combined_lowdf_0.01_seed20,"chemical,disease,gene",True,True,True,0.01,20,0.7950,0.7994,0.7994,36,36,27,27,27194,45377,27158,45341,0.998676,0.999207
pubtator_combined_lowdf_0.02_seed20,"chemical,disease,gene",True,True,True,0.02,20,0.7950,0.7994,0.7994,36,36,27,27,27194,45377,27158,45341,0.998676,0.999207
pubtator_combined_lowdf_0.05_seed20,"chemical,disease,gene",True,True,True,0.05,20,0.7950,0.7994,0.7994,36,36,27,27,27194,45377,27158,45341,0.998676,0.999207
pubtator_combined_lowdf_0.10_seed20,"chemical,disease,gene",True,True,True,0.1,20,0.7950,0.7994,0.7994,36,36,27,27,27194,45377,27158,45341,0.998676,0.999207
pubtator_seed_top_5,all,True,True,False,0.05,5,0.7950,0.7994,0.7995,35,36,27,28,25966,47263,25931,47227,0.998652,0.999238
pubtator_disease_gene_only,"disease,gene",True,True,False,0.2,25,0.7950,0.7988,0.7991,33,35,27,28,28782,49305,28749,49270,0.998853,0.999290
pubtator_dcg_lowdf_0.01_seed10,"chemical,disease,gene",True,True,False,0.01,10,0.7950,0.7993,0.7993,34,34,27,27,23220,37005,23186,36971,0.998536,0.999081
pubtator_dcg_lowdf_0.02_seed10,"chemical,disease,gene",True,True,False,0.02,10,0.7950,0.7993,0.7993,34,34,27,27,23220,37005,23186,36971,0.998536,0.999081
pubtator_dcg_lowdf_0.05_seed10,"chemical,disease,gene",True,True,False,0.05,10,0.7950,0.7993,0.7993,34,34,27,27,23220,37005,23186,36971,0.998536,0.999081
pubtator_dcg_lowdf_0.10_seed10,"chemical,disease,gene",True,True,False,0.1,10,0.7950,0.7993,0.7993,34,34,27,27,23220,37005,23186,36971,0.998536,0.999081
pubtator_combined_lowdf_0.01_seed10,"chemical,disease,gene",True,True,True,0.01,10,0.7950,0.7991,0.7991,32,32,26,26,20911,32793,20879,32761,0.998470,0.999024
pubtator_combined_lowdf_0.02_seed10,"chemical,disease,gene",True,True,True,0.02,10,0.7950,0.7991,0.7991,32,32,26,26,20911,32793,20879,32761,0.998470,0.999024
pubtator_combined_lowdf_0.05_seed10,"chemical,disease,gene",True,True,True,0.05,10,0.7950,0.7991,0.7991,32,32,26,26,20911,32793,20879,32761,0.998470,0.999024
