method,recall@5,recall@10,mrr@10,ndcg@10,evidence_coverage@10,recall@100,mrr@100,ndcg@100,delta_mrr@10,delta_recall@10
BM25,0.0776,0.0920,0.0815,0.0765,0.0920,0.1961,0.0895,0.1097,,
Dense,0.0713,0.0815,0.1142,0.0771,0.0815,0.2293,0.1205,0.1134,,
Hybrid RRF,0.0000,0.0000,0.0000,0.0000,0.0000,0.8375,0.0375,0.1932,,
Biomedical semantic reranker only,0.0031,0.0142,0.0113,0.0090,0.0142,0.8375,0.0375,0.1846,,
Full KCH-MedRank,0.3457,0.4514,0.2847,0.2879,0.4514,0.8375,0.2998,0.3858,,
